CODE,TYPE,INDEX_CODE,DESCRIPTION,HR,lCI,uCI
D696,1,1181,"Thrombocytopenia, unspecified",3.33565051118853,2.53646198401192,4.38664738636983
O044,1,1305,"Medical abortion, incomplete, without complication",3.31717195443857,2.75844556406247,3.98906903172971
S8288,1,1877,Fracture of other parts of lower leg,3.31297902411307,2.86746025022384,3.82771827904376
S025,1,2132,Fracture of tooth,3.28941242411762,2.82395380396772,3.83159033293556
Z508,1,952,Care involving use of other rehabilitation procedures,3.28462582303368,2.78305511349845,3.87659114079765
S533,1,1131,Traumatic rupture of ulnar collateral ligament,3.27390155712758,2.83986936335758,3.77426917732935
T780,1,1817,Anaphylactic shock due to adverse food reaction,3.26169076696436,2.7899622675906,3.81317940492723
T424,1,1445,Benzodiazepines,3.24686187196411,2.85722689358287,3.68963068326534
K253,1,1439,"Gastric ulcer, acute without haemorrhage or perforation",3.24644675084271,2.71697580639958,3.87909840096205
E1129,1,993,Type 2 diabetes mellitus with other specified renal complication,3.235958775013,2.28837593069665,4.57592175005783
I330,1,2007,Acute and subacute infective endocarditis,3.23125090262437,2.67468677021685,3.90362808534187
I832,1,1633,Varicose veins of lower extremities with both ulcer and inflammation,3.22359887736453,2.549602828684,4.07576803933403
C782,1,1671,Secondary malignant neoplasm of pleura,3.216931045606,2.58340903585801,4.00580984603806
T828,1,712,"Other complications of cardiac and vascular prosthetic devices, implants and grafts",3.19386068453607,2.49008374614104,4.09654739043761
T436,1,2123,Psychostimulants with potential for use disorder,3.18925359937124,2.61396349850788,3.89115552948939
F431,1,1468,Post-traumatic stress disorder,3.12639064087402,2.39635825768047,4.07882185729843
H433,1,1969,Other vitreous opacities,3.11029690147104,2.59462467774933,3.72845710528425
R53,1,1706,Malaise and fatigue,3.10486509492373,2.68944442123363,3.58445304969488
R195,1,1250,Other faecal abnormalities,3.09419950942228,2.71523447635202,3.52605665827138
M5496,1,928,"Unspecified dorsalgia, lumbar region",3.06995732500944,2.33931103960354,4.0288092595743
R91,1,1295,Abnormal findings on diagnostic imaging of lung,3.06783767611153,2.61286990636708,3.60202702171853
N180,1,1479,End-stage renal disease,3.05753892475011,2.35820383393493,3.96426472632901
B029,1,934,Zoster without complication,3.05442534017784,2.51646555639706,3.70738798113255
R202,1,741,Paraesthesia of skin,3.04534005019804,2.51804126175676,3.68305959167244
F314,1,2130,"Bipolar affective disorder, current episode severe depression without psychotic symptoms",3.03504921545592,2.37691620653905,3.8754095390061
H209,1,1417,"Iridocyclitis, unspecified",3.02363348781992,2.4556489253814,3.72299125260592
E1064,1,1076,Type 1 diabetes mellitus with hypoglycaemia,3.02084625565981,2.12684476994898,4.29063382023543
H813,1,1730,Other peripheral vertigo,3.00569666159518,2.66047087267385,3.39571934965211
E1122,1,1446,Type 2 diabetes mellitus with established diabetic nephropathy,3.00039979294968,1.93628689743087,4.64931045573728
M1907,1,1041,"Primary arthrosis of other joints, ankle and foot",2.99452516649461,2.59369426760166,3.45730068681586
K269,1,1690,"Duodenal ulcer, unspecified as acute or chronic, without haemorrhage or perforation",2.9924851494953,2.48034400656453,3.61037313624624
K047,1,1245,Periapical abscess without sinus,2.98626892738881,2.61283496844799,3.41307515184743
A4151,1,1423,Septicaemia due to Escherichia coli [E. Coli],2.98499573253165,2.46138495465998,3.61999430701121
I803,1,2152,"Phlebitis and thrombophlebitis of lower extremities, unspecified",2.98400374781773,2.54413674550502,3.4999212926437
E831,1,1466,Disorders of iron metabolism,2.97574867134509,2.44868667210547,3.61625693310861
J459,1,911,"Asthma, unspecified",2.96498618807686,2.51230009997928,3.49924083335389
R040,1,1125,Epistaxis,2.96373112427143,2.54223632084234,3.45510844328777
Q211,1,1475,Atrial septal defect,2.94855808616512,2.42244002118521,3.58894119625552
T825,1,2090,Mechanical complication of other cardiac and vascular devices and implants,2.93505461141496,2.472308658396,3.48441346218366
T827,1,711,"Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts",2.92148412069446,2.52171567303064,3.38462799702247
J09,1,1761,Influenza due to identified avian influenza virus,2.90935983893236,2.48228270042622,3.40991566792098
K861,1,1786,Other chronic pancreatitis,2.90442452633673,2.32636522091896,3.62612102060833
R222,1,2160,"Localized swelling, mass and lump, trunk",2.90387645115531,2.38854665032959,3.53038884227393
K250,1,869,"Gastric ulcer, acute with haemorrhage",2.89575507124651,2.42518685934445,3.45762941949823
G439,1,693,"Migraine, unspecified",2.87994801923744,2.53410227678857,3.27299362361199
L984,1,1856,"Chronic ulcer of skin, not elsewhere classified",2.87936690967345,2.21928618317719,3.73577498177957
Z478,1,1899,Other specified orthopaedic follow-up care,2.8761780737667,2.3812533929113,3.47396893444531
G4732,1,899,Obstructive sleep apnoea syndrome,2.86210201657635,2.5012958653533,3.27495362174334
S337,1,1315,Sprain and strain of other and unspecified parts of lumbar spine and pelvis,2.85760871405193,2.53052968161522,3.22696375464494
G4730,1,1092,"Sleep apnoea, unspecified",2.8527255871122,2.41777778455774,3.36591862467347
R21,1,1265,Rash and other nonspecific skin eruption,2.84476653289092,2.35715992721565,3.43324037254255
C833,1,1184,Large cell (diffuse) non-Hodgkin's lymphoma,2.84381338507082,2.35040244034415,3.44080419178079
I620,1,1906,Subdural haemorrhage (acute)(nontraumatic),2.84286770243587,2.48332064899147,3.25447169975221
O691,1,1854,"Labour and delivery complicated by cord around neck, with compression",2.80681049438185,2.47688971667868,3.18067659545866
J209,1,778,"Acute bronchitis, unspecified",2.80662619471635,2.36872858311655,3.3254762293213
R042,1,1091,Haemoptysis,2.79810923506,2.3707394094237,3.30252041207317
L728,1,2021,Other follicular cysts of skin and subcutaneous tissue,2.78487001831802,2.24676623134895,3.45185044652831
T8688,1,1634,Failure and rejection of other transplanted organs and tissues,2.77882635652042,2.30011783848069,3.35716535496858
K053,1,1595,Chronic periodontitis,2.76469855320011,2.38119645757095,3.20996533728424
H409,1,1698,"Glaucoma, unspecified",2.75911487539561,2.37708734983559,3.20253897954396
S898,1,769,Other specified injuries of lower leg,2.74959323109567,2.26544599176102,3.33720731546119
L033,1,1357,Cellulitis of trunk,2.73183176823694,2.25690473597043,3.30669907816896
J690,1,1798,Pneumonitis due to food and vomit,2.72731377687435,2.17438727088516,3.42084436251351
E109,1,1427,Type 1 diabetes mellitus without complication,2.69243675707669,2.00661564207411,3.61265781989251
K638,1,1387,Other specified diseases of intestine,2.67395148341499,2.22903535442497,3.20767300593207
O860,1,987,Infection of obstetric surgical wound,2.67331286614087,2.26510997430554,3.15507933890293
K116,1,1749,Mucocele of salivary gland,2.67309093364849,2.27747350004302,3.13743063944269
C9200,1,1415,"Acute myeloid leukaemia, without mention of remission",2.6589860794742,2.12404037811487,3.3286594001158
T856,1,1255,"Mechanical complication of other specified internal prosthetic devices, implants and grafts",2.63356823738462,2.21341497118847,3.1334755349726
O994,1,1501,"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium",2.61774576705962,2.14530531181936,3.19422734992769
C822,1,1514,"Large cell, follicular non-Hodgkin's lymphoma",2.61434390363946,2.08730199925609,3.27446342164799
G430,1,1429,Migraine without aura [common migraine],2.56251974399605,2.2166298273186,2.96238341532783
O11,1,1244,Pre-existing hypertensive disorder with superimposed proteinuria,2.56225265452759,2.01908427905498,3.25154265908429
O011,1,754,Incomplete and partial hydatidiform mole,2.55864770058425,2.18855011332669,2.99133111727281
S0266,1,1938,Fracture of symphysis of body,2.55810446191635,2.09206872491521,3.12795576939834
M8199,1,1852,"Unspecified osteoporosis, site unspecified",2.55424784857844,2.13845034146375,3.05089248296588
O034,1,1121,"Spontaneous abortion, incomplete, without complication",2.55312056724675,2.23263718657131,2.91960765954489
R074,1,761,"Chest pain, unspecified",2.54653853063135,2.28988117066493,2.83196288570162
G409,1,1150,"Epilepsy, unspecified",2.53873881200316,2.09025955888363,3.0834423065686
S020,1,2161,Fracture of vault of skull,2.52434607436104,2.04751981952335,3.11221558999386
Z451,1,1619,Adjustment and management of infusion pump,2.51069068462592,2.09632108259601,3.00696671239944
N136,1,1705,Pyonephrosis,2.49686776078203,2.06225324339176,3.02307615944351
H738,1,1789,Other specified disorders of tympanic membrane,2.47052252624187,2.08903588411088,2.9216738683578
M1397,1,1227,"Arthritis, unspecified, ankle and foot",2.46997586199693,2.07404909632651,2.94148328969309
J981,1,1872,Pulmonary collapse,2.45580752006647,2.00723700855547,3.00462304646093
L088,1,1425,Other specified local infections of skin and subcutaneous tissue,2.45251892164726,2.02924795249438,2.96407792534388
R104,1,725,Other and unspecified abdominal pain,2.44773850895695,2.2040513075939,2.71836857317603
L0311,1,675,Cellulitis of lower limb,2.43814657220539,2.05205979989088,2.89687401306384
I849,1,1053,Unspecified haemorrhoids without complication,2.43674771477403,2.06506551807196,2.87532737992751
S4301,1,1597,Anterior dislocation of humerus,2.42506615826397,2.15455570899343,2.72953994524682
S8241,1,1984,Fracture of upper end of fibula,2.42370169276069,2.08349634628202,2.81945773793832
R634,1,1165,Abnormal weight loss,2.41983307374807,2.12180280216218,2.75972493713272
L022,1,938,"Cutaneous abscess, furuncle and carbuncle of trunk",2.41791588513155,1.95871587977398,2.98477042430783
H538,1,1088,Other visual disturbances,2.41236293984365,2.00840437177479,2.89757134335878
D231,1,2149,"Other benign neoplasms of skin of eyelid, including canthus",2.40496339477525,2.13585100490988,2.7079833363437
K224,1,2004,Dyskinesia of oesophagus,2.40459695253468,2.13252493568975,2.71138048956453
S6234,1,1351,Fracture of head of other metacarpal bone(s),2.40247131272672,2.09093210246142,2.76042842408909
J47,1,798,Bronchiectasis,2.40014885053864,1.93648899747642,2.97482428882848
M2546,1,1879,"Effusion of joint, lower leg",2.39686869610671,2.05440969619255,2.79641376158976
H353,1,1422,Degeneration of macula and posterior pole,2.3777081629644,2.05394053162926,2.75251207187727
N61,1,752,Inflammatory disorders of breast,2.37285890176761,1.98845443446094,2.83157575558134
C20,1,819,Malignant neoplasm of rectum,2.35901569786475,2.07174017250585,2.68612596146228
T185,1,1485,Foreign body in anus and rectum,2.35155070470741,2.04163401130386,2.70851224371913
R51,1,773,Headache,2.35070351842365,2.08177630055735,2.65437118774477
N131,1,1900,"Hydronephrosis with ureteral stricture, not elsewhere classified",2.34794496088129,1.92337658776928,2.86623304785133
M2326,1,1322,Derangement of other and unspecified lateral meniscus due to old tear or injury,2.34268491748199,1.95315239544328,2.80990496973075
C711,1,1843,Malignant neoplasm of frontal lobe,2.33422155810386,1.86705721903668,2.9182770762259
M750,1,1834,Adhesive capsulitis of shoulder,2.33183307551682,1.94431568883049,2.79658572078121
S722,1,1119,Subtrochanteric fracture,2.32347043659682,1.91974786358832,2.81209578202042
Z755,1,2117,Holiday relief care,2.32125515774526,1.90334287059182,2.83092741229727
D251,1,1246,Intramural leiomyoma of uterus,2.32061486177489,1.99761440947508,2.6958422562168
I472,1,1491,Ventricular tachycardia,2.31601168678966,1.88164572249045,2.85064827519545
N739,1,749,"Female pelvic inflammatory disease, unspecified",2.30508685792411,1.91370627188352,2.77651042933815
S969,1,1767,Injury of unspecified muscle and tendon at ankle and foot level,2.29396393017113,1.9057135257356,2.76131246478663
C859,1,794,"Non-Hodgkin's lymphoma, unspecified type",2.29252355339169,1.89216815129907,2.77758836562564
K36,1,1571,Other appendicitis,2.28915927328797,1.93485667316001,2.70834023582839
D047,1,2158,"Carcinoma in situ of skin of lower limb, including hip",2.28626220739913,1.86174585507851,2.80757702063536
I442,1,1644,"Atrioventricular block, complete",2.27845076075126,1.87610065627991,2.76708920269866
I428,1,1679,Other cardiomyopathies,2.27496450081403,1.88581522021189,2.74441706933647
M1096,1,990,"Gout, unspecified, lower leg",2.27443102245413,1.77681468020821,2.91141025202219
E871,1,1224,Hypo-osmolality and hyponatraemia,2.26370677433645,1.91700255704693,2.6731150364612
A084,1,1100,"Viral intestinal infection, unspecified",2.25883365692376,1.97057631958625,2.58925748723239
R32,1,1641,Unspecified urinary incontinence,2.24924934180029,1.86166541788916,2.71752515407699
D128,1,1093,Benign neoplasm of rectum,2.2483600910347,1.95408395463751,2.58695287219391
C180,1,1751,Malignant neoplasm of caecum,2.24807311645334,1.86974869319069,2.70294759682166
K265,1,1366,"Duodenal ulcer, chronic or unspecified with perforation",2.24278434023993,1.85426572976075,2.71270806340926
R42,1,734,Dizziness and giddiness,2.24276132427557,1.91155334918867,2.63135651421981
M7965,1,1974,"Pain in limb, pelvic region and thigh",2.23040941092648,1.82711197403432,2.7227264727323
M4807,1,1464,"Spinal stenosis, lumbosacral region",2.22566546803967,1.80294976018582,2.74749018803149
M2557,1,1653,"Pain in a joint, ankle and foot",2.22094842545512,1.88020878775357,2.62343838655545
J939,1,1826,"Pneumothorax, unspecified",2.20773137781687,1.92866749922417,2.52717372930162
L905,1,1288,Scar conditions and fibrosis of skin,2.2044842511098,1.8725760163125,2.5952221811326
A418,1,2027,Other specified septicaemia,2.20303200711062,1.74321301521805,2.78414053932863
H251,1,1350,Senile nuclear cataract,2.20116535819424,1.94193343496351,2.49500258190127
D693,1,1694,Idiopathic thrombocytopenic purpura,2.19617351860411,1.88570237331536,2.55776213259892
D414,1,1738,Neoplasm of uncertain or unknown behaviour of bladder,2.19478138375966,1.90963718796565,2.52250288843068
C7988,1,2105,Secondary malignant neoplasm of other specified sites,2.1896938646209,1.80545394632591,2.65570840536571
E1111,1,1769,"Non-insulin-dependent diabetes mellitus with ketoacidosis, stated as uncontrolled",2.18756051218463,1.67655379951811,2.85431997222215
E1135,1,2030,Type 2 diabetes mellitus with advanced ophthalmic disease,2.16165606307995,1.56935776650251,2.97749629484683
S001,1,1892,Contusion of eyelid and periocular area,2.16116844106115,1.8360359215584,2.54387671602541
K439,1,699,Ventral hernia without obstruction or gangrene,2.1588371250789,1.85657110532916,2.51031469747701
M706,1,1928,Trochanteric bursitis,2.1582544829873,1.83534572803126,2.53797545726241
S651,1,1780,Injury of radial artery at wrist and hand level,2.15026625730807,1.84959152165105,2.49981951322436
M1917,1,1807,"Post-traumatic arthrosis of other joints, ankle and foot",2.1489964406686,1.80639758088529,2.55657212502634
R33,1,1173,Retention of urine,2.14449513059284,1.92176829551231,2.39303529768682
M940,1,1739,Chondrocostal junction syndrome [Tietze],2.13889472479458,1.74015662581308,2.62899935321426
S923,1,815,Fracture of metatarsal bone,2.13882164064418,1.9321682359883,2.36757748382505
J310,1,1898,Chronic rhinitis,2.13821007578374,1.86559461407089,2.45066226805123
Z391,1,1065,Care and examination of lactating mother,2.13288401249996,1.79831741353514,2.52969480056087
H810,1,891,Menier's disease,2.12917771380066,1.72858793980492,2.62260173899917
K610,1,1054,Anal abscess,2.128219617306,1.88224497301065,2.40633860333357
D046,1,2166,"Carcinoma in situ of skin of upper limb, including shoulder",2.12777287417594,1.75187336750809,2.58432914618645
O756,1,1810,Delayed delivery after spontaneous or unspecified rupture of membranes,2.12644938338205,1.85446234779112,2.43832773713194
R071,1,2091,Chest pain on breathing,2.12584149390613,1.76301625769409,2.56333544145749
T58,1,1434,Toxic effect of carbon monoxide,2.11769522685881,1.74518880371512,2.56971226512214
H830,1,1371,Labyrinthitis,2.11755365917009,1.87857226760889,2.38693691841415
T846,1,1133,Infection and inflammatory reaction due to internal fixation device [any site],2.11722351338907,1.81471317758805,2.47016193027566
S434,1,765,Sprain and strain of shoulder joint,2.1146356389271,1.71846693123192,2.60213554543933
M2555,1,828,"Pain in a joint, pelvic region and thigh",2.10849970389311,1.79783347219277,2.47284916544297
K429,1,676,Umbilical hernia without obstruction or gangrene,2.10814158193066,1.89546883898871,2.34467633445046
O2412,1,1115,"Pre-existing diabetes mellitus, Type 2, in pregnancy, insulin treated",2.10561568059038,1.67845811313948,2.64148229833106
R05,1,1339,Cough,2.10514816283461,1.81983902210875,2.43518725208494
M502,1,1777,Other cervical disc displacement,2.10246368929621,1.69662357305566,2.60538261698667
I269,1,933,Pulmonary embolism without mention of acute cor pulmonale,2.10131760848878,1.77690466063637,2.48495926065253
L023,1,1000,"Cutaneous abscess, furuncle and carbuncle of buttock",2.10013964499158,1.86549942565387,2.36429262202503
C9000,1,1079,"Multiple myeloma, without mention of remission",2.09870361743847,1.77112877898755,2.48686426763793
S7301,1,1367,Posterior dislocation of hip,2.09669490385891,1.76597835075517,2.4893450805827
I859,1,1891,Oesophageal varices without bleeding,2.09537189105668,1.78680143095002,2.45723071729129
M1901,1,1407,"Primary arthrosis of other joints, shoulder region",2.09135854985217,1.80957025550941,2.41702723103642
Z511,1,1038,Chemotherapy session for neoplasm,2.07357665075256,1.8074352779349,2.37890682949316
N320,1,1947,Bladder-neck obstruction,2.07172724637624,1.70790131055528,2.51305725737878
M160,1,1280,"Primary coxarthrosis, bilateral",2.06417441998097,1.75445352467714,2.42857161855448
G560,1,710,Carpal tunnel syndrome,2.05897093351987,1.84838399156187,2.29355010886967
R55,1,733,Syncope and collapse,2.05609198637917,1.8473067671953,2.28847440583522
I499,1,1283,"Cardiac arrhythmia, unspecified",2.05155036553579,1.63214678863176,2.57872571979775
K219,1,863,Gastro-oesophageal reflux disease without oesophagitis,2.04005460427979,1.71657727192948,2.42448904369167
J980,1,1876,"Diseases of bronchus, not elsewhere classified",2.03942744761642,1.66223619168697,2.5022101762025
S655,1,1678,Injury of blood vessel(s) of other finger,2.03345135771814,1.73363091046743,2.3851238457042
O731,1,1868,"Retained portions of placenta and membranes, without haemorrhage",2.03200383207546,1.76994071571312,2.33286885651746
G401,1,1554,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,2.03182754806739,1.67015203878464,2.47182477356355
S7210,1,2093,"Fracture of trochanteric section of femur, unspecified",2.01953115824207,1.70081677552024,2.39796911566977
M511,1,907,Lumbar and other intervertebral disc disorders with radiculopathy,2.01799948271593,1.79712183413727,2.26602439238448
M0697,1,1967,"Rheumatoid arthritis, unspecified, ankle and foot",2.0174845787681,1.64956727141733,2.46746167682503
S4200,1,1202,"Fracture of clavicle, unspecified part",2.00873114528165,1.72619433810873,2.33751248335421
N948,1,1926,Other specified conditions associated with female genital organs and menstrual cycle,2.00720926233962,1.68748394364909,2.38751250818405
C793,1,1930,Secondary malignant neoplasm of brain and cerebral meninges,2.00715109746963,1.62461026481395,2.47976737272119
